scenario,metric,value,unit,notes
backfill,wall_time,524.825,ms,CTAS registration and initial state build
backfill,rows_per_second,571619.111,rows_per_second,initial source rows divided by wall time
query_source,postgres_cpu_mean,370.671,percent,200ms process samples
query_source,postgres_cpu_peak,469.400,percent,200ms process samples
query_source,postgres_rss_peak,346768,KiB,sum of postmaster and direct children
query_source,latency_average,13.592,ms,pgbench client latency
query_source,tps,588.293597,transactions_per_second,pgbench including connection setup
query_shiba,postgres_cpu_mean,508.563,percent,200ms process samples
query_shiba,postgres_cpu_peak,536.700,percent,200ms process samples
query_shiba,postgres_rss_peak,236032,KiB,sum of postmaster and direct children
query_shiba,latency_average,0.040,ms,pgbench client latency
query_shiba,tps,201666.960191,transactions_per_second,pgbench including connection setup
write_baseline,latency_average,0.114,ms,pgbench client latency
write_baseline,tps,34402.683409,transactions_per_second,pgbench including connection setup
write_shiba,latency_average,0.355,ms,pgbench client latency
write_shiba,tps,11058.277120,transactions_per_second,pgbench including connection setup
write_shiba,ingress_wall_time,61.199,ms,pgbench source-write phase
write_shiba,end_to_end_wall_time,11165.336,ms,source writes plus asynchronous drain
write_shiba,end_to_end_rows_per_second,358.252,rows_per_second,committed rows divided by ingress plus drain time
visibility_latency,mean,62.986,ms,sequential commit-to-worker-apply timestamp
visibility_latency,p50,58.982,ms,nearest-rank over raw samples
visibility_latency,p95,82.576,ms,nearest-rank over raw samples
visibility_latency,p99,82.681,ms,nearest-rank over raw samples
visibility_latency,min,19.180,ms,raw sample minimum
visibility_latency,max,94.689,ms,raw sample maximum
large_transaction,source_commit_wall_time,271.576,ms,single transaction source insert
large_transaction,apply_wall_time,4044.180,ms,worker activation through applied LSN
large_transaction,apply_rows_per_second,4945.378,rows_per_second,large transaction rows divided by apply time
