epoch_ms,cpu_percent,rss_kb
1784991112370.625,30.70,129824
1784991112636.855,253.00,234592
1784991112899.750,465.00,234672
1784991113159.018,503.90,234688
1784991113424.759,523.70,235120
1784991113689.167,530.40,235136
1784991113953.650,531.30,235152
1784991114216.065,536.70,235168
1784991114477.708,528.10,235200
1784991114741.767,532.40,235216
1784991115003.527,532.10,235232
1784991115267.815,530.40,235232
1784991115533.231,531.90,235264
1784991115798.759,529.70,235280
1784991116062.285,532.70,235296
1784991116323.636,530.10,235600
1784991116587.894,529.50,235616
1784991116851.899,531.40,235632
1784991117116.171,535.40,235664
1784991117380.019,535.20,235680
1784991117644.652,535.00,235696
1784991117909.590,533.70,235712
1784991118169.739,532.20,235728
1784991118433.547,534.30,235744
1784991118698.486,531.10,235776
1784991118966.397,533.40,235792
1784991119238.710,530.70,235792
1784991119503.538,530.50,235824
1784991119767.877,532.60,235840
1784991120032.879,531.60,235888
1784991120294.714,530.50,235904
1784991120556.837,529.10,235920
1784991120818.744,533.60,235936
1784991121083.021,534.50,235952
1784991121346.214,530.10,235984
1784991121611.884,529.80,236000
1784991121875.038,529.80,236000
1784991122136.396,529.30,236032
