epoch_ms,cpu_percent,rss_kb
1784991102349.663,2.80,127376
1784991102638.401,266.30,344336
1784991102922.322,412.50,344592
1784991103196.325,413.60,344704
1784991103477.829,469.40,345232
1784991103762.103,409.80,345408
1784991104047.864,394.30,345376
1784991104327.146,379.50,345632
1784991104600.850,357.80,345808
1784991104884.514,364.00,345680
1784991105168.247,359.80,345824
1784991105449.013,365.60,345888
1784991105731.771,366.70,345760
1784991106014.409,360.90,345936
1784991106296.111,365.50,345968
1784991106581.455,358.20,346144
1784991106865.594,370.60,346256
1784991107153.874,358.60,346176
1784991107440.684,365.70,346320
1784991107719.234,356.10,346352
1784991107999.614,370.80,346400
1784991108283.726,365.90,346352
1784991108568.169,428.90,346464
1784991108872.888,401.00,346432
1784991109157.176,374.40,346448
1784991109446.512,374.10,346400
1784991109731.035,442.80,346608
1784991110026.101,413.20,346496
1784991110316.408,436.50,346592
1784991110613.564,400.30,346672
1784991110904.805,376.80,346640
1784991111190.808,365.70,346640
1784991111485.069,373.40,346736
1784991111771.221,380.40,346688
1784991112057.435,371.60,346768
